hero,winner,kills,deaths,assists
71,True,3,2,5
87,True,12,5,9
96,True,14,10,10
36,True,6,7,16
34,True,6,8,15
101,False,6,9,9
81,False,6,6,13
5,False,8,9,9
56,False,5,10,6
18,False,3,9,13
23,True,8,1,5
65,True,7,4,9
36,True,3,1,11
78,True,8,1,11
45,True,4,0,4
64,False,0,5,1
103,False,2,5,3
14,False,0,12,2
1,False,2,3,1
19,False,2,5,2
58,False,3,3,1
34,False,3,2,6
20,False,1,4,3
32,False,4,7,2
45,False,2,4,4
54,True,10,1,2
66,True,1,2,10
67,True,3,4,5
52,True,4,3,6
57,True,2,5,9
107,False,2,5,4
61,False,0,6,2
104,False,2,7,2
90,False,1,5,3
83,False,1,5,3
64,True,4,0,19
39,True,3,0,11
11,True,7,1,11
81,True,10,3,10
5,True,4,2,12
93,True,5,6,11
29,True,4,7,9
90,True,7,3,14
72,True,1,5,20
94,True,16,3,17
103,False,4,6,8
86,False,8,8,14
66,False,5,9,10
67,False,3,7,9
64,False,3,8,13
45,True,5,4,9
92,True,3,3,4
78,True,9,0,13
23,True,7,0,8
85,True,1,3,4
81,False,2,5,2
46,False,0,5,4
106,False,2,3,0
33,False,4,6,1
103,False,1,6,4
65,True,2,3,11
93,True,7,0,5
90,True,4,2,7
82,True,7,6,8
15,True,6,2,7
88,False,1,7,5
67,False,1,6,4
24,False,3,3,5
28,False,4,7,4
76,False,2,3,3
65,True,5,3,15
30,True,4,3,9
91,True,23,2,8
72,True,5,4,23
61,True,2,3,5
4,False,6,10,1
81,False,5,7,6
46,False,1,10,5
35,False,1,6,4
66,False,2,7,5
31,False,0,7,3
10,False,2,8,3
90,False,2,8,1
60,False,0,6,3
91,False,2,6,1
4,True,16,1,12
99,True,9,0,10
6,True,7,3,7
40,True,3,1,19
53,True,0,1,6
45,True,7,5,5
83,True,7,3,8
58,True,6,5,4
34,True,2,5,7
84,True,3,3,8
40,False,2,4,13
106,False,2,3,8
86,False,2,6,4
6,False,9,6,5
48,False,4,7,7
105,False,2,7,6
87,False,1,7,3
45,False,2,6,3
20,False,2,5,3
23,False,5,8,0
88,True,2,1,20
79,True,3,3,18
106,True,2,3,7
43,True,19,1,7
48,True,5,5,13
84,False,5,5,1
60,False,0,4,6
80,False,1,4,6
37,False,0,4,3
107,False,2,4,0
5,True,4,1,9
101,True,1,2,4
56,True,6,3,10
35,True,4,1,7
7,True,6,1,8
3,True,2,0,9
73,True,3,0,10
50,True,8,1,7
77,True,6,0,8
23,True,6,0,4
101,False,0,5,0
17,False,0,6,0
40,False,0,7,1
14,False,0,6,1
53,False,0,3,0
65,True,6,7,18
12,True,1,4,19
74,True,9,6,8
71,True,9,5,2
45,True,4,6,11
11,False,8,4,14
67,False,6,6,11
28,False,3,9,4
88,False,5,6,10
35,False,5,6,6
23,False,1,6,0
61,False,1,7,0
107,False,1,4,2
42,False,0,4,1
83,False,1,3,2
99,True,9,1,9
43,True,4,0,15
53,True,0,0,4
81,True,5,2,5
64,True,6,1,10
97,False,0,12,3
104,False,2,5,2
45,False,2,6,2
3,False,1,6,3
34,False,1,8,2
101,True,4,4,12
103,True,3,1,6
1,True,0,1,5
19,True,18,0,8
43,True,12,0,8
13,False,0,3,1
61,False,0,6,2
83,False,2,5,1
73,False,1,8,1
82,False,0,6,0
